pool	HM006-1	M162	KH46C
C3_A17_X5	0.782158	0.00286264	0.21498
C3_A17_X6	0.789101	0.00281142	0.208088
C3_A17_X2	0.770926	0.00296294	0.226111
C3_A17_X1	0.681205	0.00286547	0.315929
C3_A17_X3	0.755145	0.00309071	0.241764
C3_A17_X4	0.748628	0.00297119	0.248401
C3_initial_2	0.349118	0.320183	0.3307
HM_A17_X2	0.991322	0.00281423	0.00586351
C3_R108_X3	0.606739	0.00289034	0.39037
HM_A17_X1	0.990765	0.0026976	0.00653727
C3_initial_1	0.347445	0.320537	0.332019
HM_A17_X3	0.986563	0.00455472	0.00888257
HM_initial_2	0.526228	0.469023	0.00474938
HM_A17_X4	0.991108	0.00300759	0.0058849
C3_R108_X2	0.697352	0.0026033	0.300045
KH_A17_X1	0.809393	0.00307868	0.187529
MK_initial_4	0.00526769	0.523608	0.471125
C3_R108_X1	0.500579	0.00250163	0.496919
KH_A17_X3	0.792042	0.00297645	0.204981
KH_initial_3	0.522869	0.00323579	0.473896
C3_initial_3	0.357066	0.312149	0.330785
MK_A17_X2	0.00736455	0.00265531	0.98998
MK_A17_X3	0.00782061	0.00294672	0.989233
KH_A17_X4	0.784666	0.00286696	0.212467
HM_R108_X3	0.98877	0.00227729	0.00895306
C3_initial_4	0.351307	0.314163	0.33453
C3_R108_X6	0.627485	0.00249202	0.370023
MK_A17_X4	0.00689718	0.0025227	0.99058
HM_R108_X1	0.991058	0.00227499	0.00666725
C3_R108_X5	0.492211	0.00330292	0.504486
MK_R108_X3	0.00803346	0.0021551	0.989811
HM_initial_4	0.509977	0.485151	0.00487256
MK_A17_X1	0.00733584	0.00274055	0.989924
MK_initial_1	0.00539794	0.52267	0.471932
MK_R108_X4	0.0068219	0.00248941	0.990689
KH_R108_X1	0.470562	0.00244833	0.526989
HM_initial_3	0.516159	0.479378	0.00446289
HM_R108_X2	0.991053	0.00236288	0.00658379
KH_A17_X2	0.783428	0.00306239	0.21351
HM_initial_1	0.513329	0.481948	0.00472268
C3_R108_X4	0.613781	0.00248931	0.38373
MK_R108_X2	0.00777211	0.00247765	0.98975
KH_R108_X4	0.624607	0.00436437	0.371028
MK_initial_2	0.00518806	0.50891	0.485902
KH_initial_4	0.539951	0.00313021	0.456919
HM_R108_X4	0.991382	0.0026056	0.00601207
KH_initial_1	0.532868	0.0030495	0.464082
KH_initial_2	0.525376	0.0030669	0.471557
KH_R108_X3	0.619863	0.00420829	0.375929
MK_initial_3	0.00506037	0.526229	0.46871
MK_R108_X1	0.00777349	0.00205401	0.990173
KH_R108_X2	0.540515	0.0025829	0.456902
