pool	HM006-1	M162	KH46C
C3_A17_X5	0.000860475	9.70072e-05	0.000859094
C3_A17_X6	0.000738125	8.48953e-05	0.000736806
C3_A17_X2	0.000699195	7.91565e-05	0.000698122
C3_A17_X1	0.000739315	7.45832e-05	0.000738791
C3_A17_X3	0.000728666	8.24883e-05	0.000727659
C3_A17_X4	0.000695628	7.72003e-05	0.000694685
C3_initial_2	0.000713388	0.000599025	0.000722052
HM_A17_X2	0.000159442	8.00984e-05	0.000145874
C3_R108_X3	0.000783889	7.41293e-05	0.000783668
HM_A17_X1	0.000142629	6.81651e-05	0.000131966
C3_initial_1	0.000617469	0.000519309	0.000625744
HM_A17_X3	0.000175656	9.14188e-05	0.000160949
HM_initial_2	0.000642197	0.000637869	0.000134712
HM_A17_X4	0.00014568	7.5821e-05	0.000132416
C3_R108_X2	0.000695478	6.46615e-05	0.000695013
KH_A17_X1	0.000654417	8.16056e-05	0.000652979
MK_initial_4	0.000157142	0.000787753	0.000792739
C3_R108_X1	0.000717629	6.03346e-05	0.000717743
KH_A17_X3	0.000716093	8.3983e-05	0.000714758
KH_initial_3	0.00080046	8.20363e-05	0.000800606
C3_initial_3	0.000588507	0.00048955	0.000593932
MK_A17_X2	0.00016283	8.09642e-05	0.000177762
MK_A17_X3	0.000181156	9.06674e-05	0.000197389
KH_A17_X4	0.000651875	7.42501e-05	0.000650789
HM_R108_X3	0.000175091	6.28892e-05	0.000169137
C3_initial_4	0.000592231	0.00049422	0.000599782
C3_R108_X6	0.000683063	5.92839e-05	0.000682848
MK_A17_X4	0.000149868	7.48968e-05	0.00016345
HM_R108_X1	0.000150063	5.98241e-05	0.000143383
C3_R108_X5	0.000653779	6.36327e-05	0.000653948
MK_R108_X3	0.000190425	6.98665e-05	0.000199006
HM_initial_4	0.00053457	0.000530972	0.000113856
MK_A17_X1	0.00013433	6.82725e-05	0.000147444
MK_initial_1	0.000130452	0.000649648	0.000653811
MK_R108_X4	0.00014556	6.92406e-05	0.000157487
KH_R108_X1	0.000753675	6.14445e-05	0.000753853
HM_initial_3	0.000505228	0.000502063	0.000103471
HM_R108_X2	0.000137589	5.69666e-05	0.000131361
KH_A17_X2	0.00054571	6.47014e-05	0.000544749
HM_initial_1	0.000499452	0.000496197	0.000104415
C3_R108_X4	0.000608465	5.35621e-05	0.000608311
MK_R108_X2	0.00014585	6.363e-05	0.000155512
KH_R108_X4	0.000698225	8.19366e-05	0.000697842
MK_initial_2	0.000111766	0.000566916	0.000570525
KH_initial_4	0.000621073	6.27439e-05	0.00062112
HM_R108_X4	0.000114694	5.40518e-05	0.000106886
KH_initial_1	0.000578179	5.75992e-05	0.00057825
KH_initial_2	0.000560344	5.59268e-05	0.000560433
KH_R108_X3	0.000612846	7.05628e-05	0.000612547
MK_initial_3	9.47672e-05	0.000485278	0.000488193
MK_R108_X1	0.000142201	5.03344e-05	0.000147826
KH_R108_X2	0.000571867	5.03452e-05	0.000571883
