pool	USDA1157	USDA1021	KH35C	HM006-1	M162	T073	M270	KH46C
C8_initial_3	0.112981	0.1188	0.176831	0.121369	0.119486	0.0713128	0.169478	0.109744
C8_A17_X1	0.0800292	0.00167575	0.691882	0.161959	0.000569978	0.0197207	0.000917609	0.0432455
C8_A17_X5	0.0466713	0.00122214	0.731968	0.157847	0.000436081	0.01374	0.000511427	0.0476047
C8_A17_X2	0.0440981	0.00109258	0.660637	0.208165	0.000567017	0.0115299	0.000812735	0.0730977
C8_A17_X4	0.063665	0.0012081	0.684925	0.187633	0.000542563	0.00946691	0.000689332	0.0518698
C8_A17_X6	0.0963624	0.00164498	0.610577	0.204525	0.000724164	0.00648582	0.00182212	0.0778582
C8_initial_5	0.109599	0.115981	0.166093	0.133183	0.113825	0.0601939	0.180693	0.120431
C8_initial_6	0.121579	0.116711	0.168657	0.122695	0.115638	0.0708069	0.171018	0.112896
C8_R108_X1	0.0238829	0.00172171	0.374606	0.22696	0.000582657	0.0133315	0.000409225	0.358506
C8_R108_X6	0.0169883	0.0122731	0.41065	0.193966	0.000531553	0.0102586	0.000454857	0.354878
C8_R108_X2	0.018152	0.00245594	0.52941	0.292336	0.000524975	0.0131572	0.000537609	0.143426
C8_initial_2	0.117837	0.12055	0.170088	0.123595	0.11476	0.0708814	0.171042	0.111247
C8_R108_X5	0.0240191	0.00261963	0.485731	0.333107	0.000579555	0.016955	0.000590149	0.136398
C8_R108_X3	0.0289236	0.00195794	0.427386	0.351436	0.000876287	0.0186183	0.000855005	0.169947
C8_R108_X4	0.00975063	0.00192748	0.326567	0.380983	0.000573616	0.0268129	0.000631072	0.252755
