pool	USDA1157	USDA1021	KH35C	HM006-1	M162	T073	M270	KH46C
C8_initial_3	0.00079901	0.000660637	0.00047754	0.00077364	0.000714646	0.000662148	0.000766617	0.000748223
C8_A17_X1	0.000467007	8.11125e-05	0.000442959	0.000569364	4.55399e-05	0.000303476	5.33051e-05	0.000387521
C8_A17_X5	0.000416854	7.66289e-05	0.000464446	0.00058465	4.09998e-05	0.000279134	4.41621e-05	0.000422819
C8_A17_X2	0.000373806	6.681e-05	0.000429934	0.000569665	4.22832e-05	0.000243497	4.80618e-05	0.000444467
C8_A17_X4	0.000429551	7.10122e-05	0.000435837	0.000567946	4.21458e-05	0.000231218	4.58046e-05	0.000406107
C8_A17_X6	0.000531927	8.39113e-05	0.000490589	0.000645707	5.50234e-05	0.000224234	7.53043e-05	0.000504003
C8_initial_5	0.000611058	0.000505573	0.000362297	0.000610103	0.000543947	0.00048295	0.000598874	0.000593254
C8_initial_6	0.000666785	0.000538077	0.00038284	0.000636074	0.000579097	0.000543	0.000626833	0.000616536
C8_R108_X1	0.000349741	9.91609e-05	0.000417111	0.000736815	4.04486e-05	0.000326076	3.64359e-05	0.000749073
C8_R108_X6	0.000336284	0.000207472	0.00045225	0.000739338	4.12538e-05	0.000313943	3.92757e-05	0.00076634
C8_R108_X2	0.000272793	9.13442e-05	0.000420305	0.000627543	3.76089e-05	0.000264575	3.83677e-05	0.000548061
C8_initial_2	0.000532914	0.000437837	0.000311497	0.000513145	0.000464859	0.000436234	0.000504846	0.000495676
C8_R108_X5	0.000291941	8.95942e-05	0.000402441	0.000613588	3.69917e-05	0.000278752	3.73751e-05	0.000523233
C8_R108_X3	0.000303208	7.92319e-05	0.000382222	0.000610994	4.60836e-05	0.000278357	4.5944e-05	0.000538708
C8_R108_X4	0.000188937	6.78119e-05	0.000340821	0.000589333	3.22611e-05	0.000280058	3.36679e-05	0.000545191
