Plant_genotype	Community	Treatment	Pot_replicate	Harvest_date	Person	Plant_num	Flowering_num	Seeding_num	Leaf_Color	Plants_harvested	Nod_num	Nod_white	Nod_weight_grams	Veg_dryweight_g	Root_dryweight_g	Notes
A17	C68	X	1	3/21/18	BE	10	0	0	DG	4	384	45	0.29	4.468	5.073	
A17	C68	X	2	3/21/18	PLT	10	0	0		7	536		0.184	2.642	4.544	
A17	C68	X	3	3/19/18	PLT	8	0	0		8	422		0.303	3	3.768	check plants harvested?
A17	C68	X	4	3/19/18	LTB	10	0	0	DG	5	573	20	0.257	2.945	5.656	
A17	C68	X	5	3/23/18	MH	9	3	0	DG	4	505	0	0.29	4.696	3.471	roots clean
A17	C68	X	6	3/23/18	BE	9	4	0	DG	4	536	81	0.653	3.776	5.052	
A17	C68	LN	1	3/21/18	BE	10	2	0	DG	5	288	22	0.449	4.545	6.204	
A17	C68	LN	2	3/20/18	PLT	9	0	0		7	300	0	0.415	4.146	4.458	find out how many plants
A17	C68	LN	3	3/19/18	LTB	8	0	0	DG	8	320	8	0.398	2.228	3.772	
A17	C68	LN	4	3/20/18	BE	9	0	0	DG	5	292	40	0.3	3.762	5.44	
A17	C68	LN	5	3/23/18	BE	16	4	0	DG	6	250	11	0.295	5.196	6.252	
A17	C68	LN	6	3/23/18	BE	11	0	0	DG	4	262	41	0.41	5.353	4.436	
A17	C68	N	1	3/22/18	BE	11	0	0	DG	4	383	25	0.22	3.363	5.899	
A17	C68	N	2	3/20/18	MH	7	0	0	DG	4	305	2	0.226	3.894	3.627	
A17	C68	N	3	3/19/18	DIT	9	0	0	DG	4	405	20	0.224	3.821	2.578	roots clean
A17	C68	N	4	3/19/18	BE	12	0	0	DG		367	34	0.336	4.547	6.341	check plants harvested?
A17	C68	N	5	3/23/18	MH	7	0	0	DG	4	402	10	0.304	5.004	3.861	
A17	C68	N	6	3/23/18	PLT	11	0	0	DG	5	277		0.191	5.507	3.918	
A17	C68	L	1	3/22/18	BE	12	2	0	DG	4	300	13	0.392	4.473	8.268	
A17	C68	L	2	3/20/18	PLT	12	0	0		7	247		0.309	3.66	6.182	
A17	C68	L	3	3/19/18	LTB	10	0	0	DG	7	394	10	0.284	3.437	6.87	
A17	C68	L	4	3/19/18	LTB	13	0	0	DG	8	326	0	0.376	4.129	6.947	
A17	C68	L	5	3/23/18	BE	10	0	0	DG	4	456	41	0.406	2.314	3.744	
A17	C68	L	6	3/23/18	BE	9	2	0	DG	4	359	30	0.633	4.636	5.349	
A17	C8	X	1	3/22/18	BE	11	1	0	DG	4	417	38	0.418	3.067	4.989	
A17	C8	X	2	3/21/18	DIT	11	0	0	DG	6	495	0	0.244	4.059	5.687	roots relatively clean
A17	C8	X	3	3/19/18	BE	10	0	0	DG	10	775	188	0.526	4.091	4.275	
A17	C8	X	4	3/20/18	MH	10	1	0	DG	7	590	12	0.299	3.501	2.826	roots clean
A17	C8	X	5	3/22/18	BE	10	1	0	DG	4	497	10	0.298	4.842	6.836	
A17	C8	X	6	3/23/18	MH	8	0	0	DG	4	499	11	0.286	4.41	1.89	roots clean
A17	C3	X	1	3/22/18	DIT	11	0	0	DG	6	645	32	0.47	4.001	4.799	roots clean
A17	C3	X	2	3/20/18	MH	10	0	0	DG	7	534	8	0.29	3.938	2.91	roots clean
A17	C3	X	3	3/19/18	MH	9	0	0	DG	9	668	1	0.362	3.377	2.702	roots relatively clean
A17	C3	X	4	3/20/18	BE	10	1	0	DG	5	303	34	0.258	3.62	5.995	
A17	C3	X	5	3/23/18	DIT	11	0	0	DG	6	541	0	0.28	4.466	4.889	
A17	C3	X	6	3/23/18	BE	11	3	0	DG	4	335	39	0.308	5.057	5.07	
A17	HM	X	1	3/22/18	DIT	11	0	0	DG	6	553	100	0.269	3.6168	3.513	
A17	HM	X	2	3/20/18	BE	11	0	0	DG	6	332	6	0.258	3.918	6.429	
A17	HM	X	3	3/19/18	BE	11	0	0	DG	4	406	28	0.3	3.007	3.045	
A17	HM	X	4	3/10/18	LTB	12	1	0	DG	8	415	30	0.242	4.41	6.42	
A17	HK	X	1	3/22/18	BE	10	0	0	DG	4	250	17	0.253	3.433	5.41	
A17	HK	X	2	3/21/18	BE	8	1	0	DG	4	551	44	0.243	2.349	4.41	
A17	HK	X	3	3/19/18	BE	11	0	0	DG	4	352	37	0.257	3.747	6.7	
A17	HK	X	4	3/20/18	DIT	13	0	0	DG	6	410		0.234	4.231	4.612	
A17	MK	X	1	3/21/18	DIT	11	0	0	DG	7	340		0.296	3.088	3.36	"these roots initially labeled ""MK x2"""
A17	MK	X	2	3/20/18	BE	9	1	0	DG	4	290	10	0.302	3.729	4.427	"another ""MK x2"" root was mistakenly labeled (we think this root weight is correct)"
A17	MK	X	3	3/19/18	DIT	11	0	0	DG	6	603	30	0.21	3.008	4.303	
A17	MK	X	4	3/20/18	PLT	10	1	0		5	403		0.305	3.884	4.667	
