PlateID	Strain	Letter	Dilution	NumColonies	Remove	Notes
C68 L a 5	C68L	a	5	196		
C68 L a 5	C68L	a	5	197		
C68 L b 5	C68L	b	5	194		
C68 L b 5	C68L	b	5	77		
C68 L c 5	C68L	c	5	83	x	? Hard to count
C68 L c 5	C68L	c	5	33	x	
SM1021 a 8	SM1021	a	8	30		
SM1021 a 8	SM1021	a	8	42		? Hard to count
SM1021 b 8	SM1021	b	8	43		skipped one b8
C68 a 7	C68	a	7	200		only one a7
C68 b 7	C68	b	7	208		
C68 b 7	C68	b	7	85		
C8 a 7	C8	a	7	47		skipped one a7
C8 a 8	C8	a	7	30		
C8 b 7	C8	b	7	24		
C8 b 7	C8	b	7	16		
MK a 7	MK	a	7	91		skipped one a7
MK b 7	MK	b	7	40		
MK b 7	MK	b	7	60		? Hard to read edges
C3 a 7	C3	a	7	68		
C3 a 7	C3	a	7	118		
C3 b 7	C3	b	7	43		
C3 b 7	C3	b	7	158		
HM a 7	HM	a	7	103		
HM a 7	HM	a	7	118		
HM b 7	HM	b	7	45		
HM b 7	HM	b	7	43		
HK b 7	HK	b	7	48		
HK b 7	HK	b	7	50		
