Plant_genotype	Community	Treatment	Pot_replicate	Harvest_date	Person	Plant_num	Flowering_num	Seeding_num	Leaf_Color	Nod_num	Nod_white	Nod_weight_grams	Veg_dryweight_g	Root_dryweight_g	Notes
R108	C68	X	1	3/15/18	BE	9	7	1	DG	165	2	0.532	3.192	4.084	unsure of plant#
R108	C68	X	2	3/13/18	BE	8	6	1	DG	153	7	0.815	2.506	3.567	
R108	C68	X	3	3/12/18	PLT	9	3	0	DG	137		0.395	1.715	1.54	roots clean
R108	C68	X	4	3/12/18	BE	10	6	1	DG	125	0	0.604	2.109	3.556	roots relatively clean
R108	C68	X	5	3/14/18	BE	9	6	1	DG	105	0	0.495	2.062	3.25	
R108	C68	X	6	3/16/18	MH	11	9	9	DG	124	1	0.63	2.532	2.68	roots clean
R108	C68	LN	1	3/15/18	BE	11	3	0	DG	82	1		2.208	2.924	roots relatively clean
R108	C68	LN	2	3/14/18	BE	12	11	0	DG	153	2	0.659	2.663	2.778	roots cleanish
R108	C68	LN	3	3/12/18	LTB	12	10	1	DG	102	1	0.517	2.233	3.418	
R108	C68	LN	4	3/12/18	BE	11	3	0	DG	79	2	0.572	2.263	2.846	roots clean
R108	C68	LN	5	3/14/18	LTB	9	7	1	DG	68	0	0.62	2.882	4.652	
R108	C68	LN	6	3/16/18	BE	11	10	7	DG	116	5	0.941	3.647	4.03	
R108	C68	N	1	3/15/18	BE	8	3	1	DG	104	0		2.513	2.766	roots relatively clean
R108	C68	N	2	3/13/18	BE	11	3	0	DG	170	11	0.495	2.292	3.478	
R108	C68	N	3	3/12/18	BE	8	4	0	DG	81	8	0.291	1.438	1.877	roots clean
R108	C68	N	4	3/12/18	LTB	8	3	0	DG	69	0	0.55	2.148	2.142	
R108	C68	N	5	3/14/18	LDL	9	6	1	DG	86	0	0.464	2.334	3.633	
R108	C68	N	6	3/16/18	BE	9	5	1	DG	92	5	0.714	2.595	3.112	roots cleanish
R108	C68	L	1	3/15/18	BE	10	3	0	DG	76	3	0.856	2.377	3.106	roots cleanish
R108	C68	L	2	3/13/18	PLT	9	7	0	DG	55	0	0.505	1.897	2.373	roots relatively clean
R108	C68	L	3	3/12/18	PLT	9	0	0	DG	52	0	0.426	1.607	1.039	roots clean
R108	C68	L	4	3/12/18	PLT	9	7	1	DG	71		0.534	2.073	1.645	roots clean - also missing more lower roots than others?
R108	C68	L	5	3/14/18	BE	9	9	1	DG	83	0	0.684	2.471	2.919	
R108	C68	L	6	3/16/18	BE	8	5	1	DG	82	1	0.759	2.173	2.984	
R108	C8	X	1	3/15/18	BE	10	6	0	DG	167	6	0.758	2.335	2.6	roots cleanish
R108	C8	X	2	3/13/18	BE	12	10	3	DG	219	3	0.682	2.648	3.395	
R108	C8	X	3	3/12/18	LTB	12	10	1	DG	248	1	0.512	1.73	2.48	
R108	C8	X	4	3/12/18	LTB	6	5	1	DG	101	2	0.535	1.758	2.126	
R108	C8	X	5	3/14/18	LDL	11	11	4	DG	154	0	0.42	3.005	4.261	
R108	C8	X	6	3/16/18	BE	9	7	5	DG	160	6	0.927	2.729	2.39	
R108	C3	X	1	3/15/18	LTB	11	7	2	DG	229	0	0.718	2.847	3.99	
R108	C3	X	2	3/13/18	PLT	11	8	0		209		0.53	1.792	2.434	roots clean
R108	C3	X	3	3/12/18	BE	10	8	1	DG	146	1	0.656	2.107	3.268	
R108	C3	X	4	3/13/18	LTB	9	7	1	DG	155	2	0.57	1.67	3.537	
R108	C3	X	5	3/14/18	LDL	13	9	2	DG	176	0	0.537	2.723	4.033	
R108	C3	X	6	3/16/18	MH	11	11	4	DG	181	0	0.58	3.085	3.088	roots clean
R108	HM	X	1	3/15/18	BE	11	9	0	DG	195	2	0.59	2.674	2.856	roots cleanish
R108	HM	X	2	3/13/18	BE	11	5	1	DG	203	5	0.545	1.85	2.692	roots cleanish
R108	HM	X	3	3/12/18	PLT	9	6	0	DG	159	10	0.376	1.42	1.555	roots clean
R108	HM	X	4	3/12/18	BE	10	9	2	DG	166	3	0.732	2.211	2.21	
R108	HK	X	1	3/15/18	LTB	11	8	2	DG	225	8	0.684	2.751	3.508	including roots from base of plant
R108	HK	X	2	3/13/18	PLT	11	9	1	DG	220		0.534	2.664	2.985	
R108	HK	X	3	3/13/18	BE	12	6	1	DG	227	7	0.688	2.628	3.268	roots cleanish
R108	HK	X	4	3/12/18	PLT	9	2	0		147		0.423	2.24	1.431	roots clean
R108	MK	X	1	3/15/18	BE	11	8	0	DG	290	27	0.726	3.029	2.776	roots clean
R108	MK	X	2	3/15/18	PLT	12	8	1	DG	118		0.453	2.53	2.137	roots clean
R108	MK	X	3	3/12/18	BE	11	3	0	DG	216	1	0.319	1.303	1.586	roots clean
R108	MK	X	4	3/12/18	LTB	12	5	2	DG	172	0	0.536	2.213	2.598	
