plant_genotype	strain	nodule	nodule_raw	nodabove	nodabove_raw	nodred	nodred_raw	weight	weight_raw
A17	1004	-11.2621227338721	32.75	2.36885006878575	27	4.43524636175358	26	-0.0493139839176801	0.289
A17	1005	10.3600605261925	48.25	19.3785580377124	43.75	14.7432313283384	33.25	-0.0958960826230763	0.251425
A17	1006	5.9207817224991	40.375	3.43256703456398	24.25	12.7225233735582	28.5	0.25259379702291	0.57675
A17	1007	-5.20999840817309	19.75	-1.15516312071496	16.75	-0.790754784712199	11.75	-0.159730749378282	0.0761
A17	1008	6.79000159182691	31.75	2.84483687928504	20.75	-12.5407547847122	0	-0.172898472350432	0.038975
A17	1010	-18.2403971577543	12.5	-11.7899644619394	12.5	-13.7673926906308	3.5	-0.2518338442091	0.0142
A17	1018	-0.424968940990305	31	0.861697458498726	22	4.97623827181312	20.5	0.108574083999321	0.40015
A17	1020a	-14.2754266249371	10	-12.0568250411531	9	-5.28438574715614	9	-0.0631257879921559	0.115375
A17	1022	-16.2621227338721	27.75	-0.631149931214245	24	-9.81475363824642	11.75	-0.24161398391768	0.0967
A17	1023	-9.67496894099031	21.75	-0.138302541501275	21	3.72623827181312	19.25	0.018299083999321	0.309875
A17	1024	-0.178749502034205	35.25	7.14697567347236	28	5.83159050419501	25.5	0.0595134094186364	0.22
A17	1025	-3.99039715775435	26.75	-0.289964461939372	24	-17.2673926906308	0	-0.226328231642403	0.031875
A17	1027	-4.85954072422627	27.25	-2.48664062106318	15.5	7.21986923425706	21	-0.187423600358955	0.137525
A17	1031	0.422449049363906	43.75	-1.78281185165234	26	-22.5583846006904	0.75	-0.266366299559405	0.038575
A17	1035	8.14045927577373	40.25	9.51335937893682	27.5	13.2198692342571	27	0.321801399641045	0.64675
A17	1066	7.72457337506287	32	10.9431749588469	32	10.2156142528439	24.5	0.377966934979994	0.580425
A17	1106	5.14045927577373	37.25	5.76335937893682	23.75	11.2198692342571	25	-0.137423600358955	0.187525
A17	1107	0.0400015918269072	25	-2.65516312071496	15.25	-12.2907547847122	0.25	-0.150355749378282	0.085475
A17	1146	-0.984763677883413	42	6.94061960020732	31.75	17.3666373761995	40.75	0.0698109657683888	0.31
A17	1148	-33.2621227338721	10.75	-15.1311499312142	9.5	-16.3147536382464	5.25	-0.22281398391768	0.1155
A17	1149	-17.8035265483771	6.75	-8.28028454779813	5.75	-8.0651776377474	2	-0.150203433736557	0.119
A17	1150	-0.456108558022846	36	-1.4247938579492	19.25	10.6501994897491	28.5	0.0253061827047171	0.307875
A17	1157	-4.33218166823763	26.75	2.33512891035839	20.5	3.40126024870295	19	0.0364763493271143	0.2633
A17	1158	-8.20536769057156	29	-6.52310388272569	21	0.499600365894501	20.75	0.598751601735199	0.9127
A17	1162	36.1100605261925	74	2.37855803771241	26.75	-18.5067686716616	0	-0.239296082623076	0.108025
A17	1163	-2.54715220105484	35	-5.14801051042793	16.25	8.91825330522827	27.5	0.321431182704717	0.604
A17	1169	22.7946323094284	60	25.9768961172743	53.5	15.7496003658945	36	0.00875160173519935	0.3227
A17	1170	-26.6437200348514	15.25	-15.336163747314	8.75	-17.1514164392797	5.5	-0.136689034231611	0.1035
A17	1171	-10.6749689409903	20.75	-5.13830254150127	16	-15.2737617281869	0.25	-0.263675916000679	0.0279
A17	1180	5.38741958218112	42.25	-0.799672430866026	23.75	4.92462234278433	25.25	-0.0461711329370073	0.203025
A17	1183	-15.5197931450662	21	-3.32624097900636	18.25	-20.4003556803258	0	-0.170693867609214	0.01375
A17	1184	-9.88993947380752	28	-6.37144196228759	18	3.49323132833844	22	-0.130571082623076	0.21675
A17	1186	1.79463230942844	39	-0.523103882725688	27	0.749600365894502	21	-0.215848398264801	0.0981
A17	1187	-14.5775509506361	28.75	-5.28281185165234	22.5	-23.3083846006904	0	-0.294341299559405	0.0106
A17	1191	-6.04715220105484	31.5	-5.64801051042793	15.75	9.16825330522826	27.75	0.239056182704717	0.521625
A17	1195	1.88741958218112	38.75	2.70032756913397	27.25	7.42462234278433	27.75	0.0173788670629927	0.266575
A17	1198	16.5438914419772	53	14.5752061420508	35.25	-17.8498005102509	0	-0.215493817295283	0.067075
A17	1199	-1.76212273387205	42.25	-4.13114993121425	20.5	17.9352463617536	39.5	-0.00481398391768015	0.3335
