# This file is a tab-delimited table of read counts and accession numbers
# for the samples from the winter 2018 S&R experiments with the 68 strain
# community.
# pool                  sample name
# raw_n_pairs           number of read pairs in the raw data
# trimmed_n_pairs       number of read pairs left after quality trimming
# aln_n_reads           number of reads (not pairs!) that aligned to USDA1106 (reference)
# marked_dups           number of reads marked as PCR duplicates by samtools
# dup_rate              proportion of reads that were marked as duplicates
# aln_rate              proportion of trimmed reads that aligned to the reference
# biosample_accession   BioSample for this pool
# sra_accession         SRA accession for this pool         
# description           Brief description of host genotype, community, and other conditions
pool	raw_n_pairs	trimmed_n_pairs	trimmed_rate	aln_n_reads	marked_dups	dup_rate	aln_rate	biosample_accession	sra_accession	description
C3_A17_X1	4798717	4312265	0.898628737639665	3624547	108969	0.0300641707777551	0.420260234470748	SAMN09838869	SRR7699641	M. truncatula A17 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_A17_X2	5707367	5100474	0.893664977212785	3335341	112774	0.0338118351317002	0.326963827283503	SAMN09838870	SRR7699642	M. truncatula A17 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_A17_X3	5614242	4932718	0.878608011553474	3294958	108552	0.0329448812397609	0.333990104441405	SAMN09838871	SRR7699639	M. truncatula A17 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_A17_X4	4739937	4170964	0.879961906666692	3469619	112302	0.0323672426280811	0.415925311270968	SAMN09838872	SRR7699640	M. truncatula A17 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_A17_X5	7059010	6224820	0.881826205091082	2162552	73358	0.0339219588708156	0.173703978588939	SAMN09838873	SRR7699637	M. truncatula A17 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_A17_X6	5015315	4423007	0.881900139871573	2668621	81816	0.0306585311289988	0.301674969087772	SAMN09838874	SRR7699638	M. truncatula A17 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_initial_1	3327501	2957859	0.888913031130569	5092763	172991	0.0339680051869683	0.860886708933725	SAMN09838875	SRR7699635	Initial synthetic community, 3 strain mixture
C3_initial_2	2552152	2225624	0.872057777122993	3835522	121021	0.0315526804434964	0.861673400358731	SAMN09838876	SRR7699636	Initial synthetic community, 3 strain mixture
C3_initial_3	3692044	3286998	0.890292206701762	5656713	206871	0.0365708848937537	0.860467971078778	SAMN09838877	SRR7699643	Initial synthetic community, 3 strain mixture
C3_initial_4	3616489	3235474	0.894645054913758	5576843	202846	0.0363729084716927	0.861827818736915	SAMN09838878	SRR7699644	Initial synthetic community, 3 strain mixture
C3_R108_X1	5321391	4768199	0.896043722402658	5312678	183047	0.0344547514455045	0.55709482762779	SAMN09838879	SRR7699630	M. truncatula R108 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_R108_X2	4343113	3882626	0.893973055732144	4807602	157729	0.0328082482701355	0.61911731905159	SAMN09838880	SRR7699631	M. truncatula R108 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_R108_X3	3318275	2959821	0.89197580067957	3943513	110066	0.0279106471818402	0.666174238239407	SAMN09838881	SRR7699628	M. truncatula R108 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_R108_X4	5086613	4482798	0.881293308533596	6592309	252605	0.0383181370897511	0.735289544610308	SAMN09838882	SRR7699629	M. truncatula R108 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_R108_X5	4701865	4201249	0.893528206360668	6188902	213716	0.0345321351024786	0.736555010188637	SAMN09838883	SRR7699626	M. truncatula R108 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C3_R108_X6	4736236	4228761	0.892852678793878	5406900	184385	0.0341017958534465	0.63930073134897	SAMN09838884	SRR7699627	M. truncatula R108 nodule community after inoculation with 3 strain mixture, undifferentiated bacteria
C68_A17_B9	4515522	4036001	0.893806076019561	5949913	231356	0.0388839298994792	0.737104995761894	SAMN09838886	SRR7699625	M. truncatula A17 community in big nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_B9_D	4688219	4186659	0.89301694310782	7267807	303763	0.0417956888508459	0.867972170649676	SAMN09838885	SRR7699624	M. truncatula A17 community in big nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_A17_L1	4905880	4421630	0.901291919084853	3905482	118600	0.0303675705073023	0.441633741403057	SAMN09838887	SRR7699622	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_A17_L2	6799391	6119696	0.90003590027401	3744407	134535	0.0359295877825247	0.305930801137834	SAMN09838888	SRR7699623	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_A17_L3	4411325	3967097	0.899298283395578	4531733	146622	0.0323545098530739	0.57116488454908	SAMN09838889	SRR7699589	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_A17_L4	3577916	3216465	0.89897722584879	4988115	155235	0.0311209745565208	0.77540327657848	SAMN09838890	SRR7699588	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_A17_L5	6249277	5678815	0.908715520211378	3745515	124001	0.0331065287417084	0.329779628320345	SAMN09838891	SRR7699587	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_A17_L6	3821744	3447948	0.902192297547926	1574246	36064	0.0229087448848528	0.228287375563669	SAMN09838892	SRR7699586	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation
C68_A17_LN1	3817679	3451828	0.904169260956723	2370434	60387	0.0254750817782735	0.343359228791238	SAMN09838893	SRR7699585	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_A17_LN2	6206787	5607696	0.90347807972144	3094152	98179	0.0317305032202684	0.2758844274012	SAMN09838894	SRR7699584	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_A17_LN3	7324568	6455126	0.881297845825174	3806724	126291	0.0331757700321852	0.294860549584935	SAMN09838895	SRR7699583	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_A17_LN4	5794536	5200138	0.897420949667066	2971972	95681	0.0321944486690992	0.285758954858506	SAMN09838896	SRR7699582	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_A17_LN5	5856174	5283494	0.90220918982257	2379768	69723	0.0292982341135775	0.225207788633809	SAMN09838897	SRR7699591	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_A17_LN6	5313231	4795837	0.902621587504853	3255707	97233	0.0298654025070438	0.339430531104372	SAMN09838898	SRR7699590	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, low density inoculation and nitrogen added
C68_A17_N1	4458001	3977730	0.892267632959257	3714368	109874	0.0295808062098317	0.466895440364228	SAMN09838899	SRR7699602	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_A17_N2	5857818	5212677	0.889866670490616	3370342	111251	0.0330088163159703	0.323283218967912	SAMN09838900	SRR7699603	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_A17_N3	4850669	4353174	0.897437858571673	2870729	89019	0.0310091966186986	0.329728262642385	SAMN09838901	SRR7699604	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_A17_N4	5097404	4575495	0.897612784860686	2396642	65030	0.0271337980390897	0.261899750737352	SAMN09838902	SRR7699605	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_A17_N5	5926782	5320272	0.897666220893564	3583060	113946	0.0318013094952359	0.336736542793301	SAMN09838903	SRR7699606	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_A17_N6	4878774	4365771	0.894850017647876	2673630	75041	0.0280670848247514	0.306203646503676	SAMN09838904	SRR7699607	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, nitrogen added
C68_A17_S7	6757326	5680263	0.840608104448416	6944944	308764	0.044458817810482	0.611322398276277	SAMN10182554	SRR7974433	M. truncatula A17 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_S7_D	5943114	5081873	0.855085902777567	8580399	358162	0.0417418817003731	0.844216197453183	SAMN10182557	SRR7974430	M. truncatula A17 community in small nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_A17_S8	6372401	5475544	0.859259170915327	5893789	209390	0.035527230445474	0.538192095616436	SAMN10182555	SRR7974432	M. truncatula A17 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_S9	4648785	4143705	0.891352256557359	5489656	211463	0.0385202642934275	0.66240912420165	SAMN09838906	SRR7699609	M. truncatula A17 community in small nodules after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_S9_D	4191654	3720524	0.887602841265047	6410386	246892	0.0385143733934275	0.861489671884928	SAMN09838905	SRR7699608	M. truncatula A17 community in small nodules after inoculation with 68 strain mixture, differentiated bacteria
C68_A17_X1	5172074	4546470	0.879041947195651	3973818	131973	0.0332106301798422	0.437022349207187	SAMN09838908	SRR7699611	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_X1_D	4985218	4442962	0.891227224165523	7657235	316644	0.0413522635781715	0.861726366329489	SAMN09838907	SRR7699610	M. truncatula A17 nodule community after inoculation with 68 strain mixture, differentiated bacteria
C68_A17_X2	4922878	4378993	0.889518895247861	6191413	224608	0.036277340891328	0.706944838687799	SAMN09838910	SRR7699685	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_X2_D	4017223	3539004	0.880957815884256	6053742	214894	0.0354977136455435	0.855288945703367	SAMN09838909	SRR7699686	M. truncatula A17 nodule community after inoculation with 68 strain mixture, differentiated bacteria
C68_A17_X3	6085754	5405848	0.888279085878266	6128738	236300	0.038556061623127	0.566861850351693	SAMN09838911	SRR7699688	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_X4	4479606	3967090	0.885589045107985	4055936	130583	0.0321955277400827	0.511197880562327	SAMN09838912	SRR7699687	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_X5	5739445	5155441	0.898247304399641	5440532	187442	0.0344528807109305	0.527649526005632	SAMN09838913	SRR7699690	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_A17_X6	6403202	5734860	0.895623783225955	2980762	94124	0.0315771604710473	0.259880973554716	SAMN09838914	SRR7699689	M. truncatula A17 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria
C68_Gm12-7_D1	5646645	4904952	0.868648905677619	7562664	274477	0.036293692275632	0.770921305651921	SAMN10182565	SRR7974412	M. truncatula R108 Gm12-7 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm12-7_D2	4414339	3827197	0.86699209100162	6099820	196596	0.0322298035023984	0.796904366302545	SAMN10182566	SRR7974409	M. truncatula R108 Gm12-7 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm12-7_D3	5884051	5044820	0.857371902452919	8000376	306682	0.0383334483279286	0.792929777474717	SAMN10182567	SRR7974410	M. truncatula R108 Gm12-7 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm20-2_D1	6281162	5444258	0.866759685548629	8977561	351725	0.0391782356031889	0.824498122609178	SAMN10182568	SRR7974415	M. truncatula R108 Gm20-2 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm20-2_D2	4924353	4247203	0.862489549388519	7045416	237539	0.0337153973590772	0.829418325424991	SAMN10182569	SRR7974416	M. truncatula R108 Gm20-2 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm20-2_D3	5040587	4339597	0.860930879677307	7375900	263766	0.0357605173605933	0.849836977949796	SAMN10182570	SRR7974413	M. truncatula R108 Gm20-2 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm26-1_D1	5339560	4581963	0.858116211822697	7614888	270550	0.0355290846037394	0.830963497522787	SAMN10182571	SRR7974414	M. truncatula R108 Gm26-1 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm26-1_D2	4784291	4099589	0.856885377582593	6401488	203285	0.0317558980037141	0.780747533472258	SAMN10182572	SRR7974407	M. truncatula R108 Gm26-1 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm26-1_D3	4777626	4118525	0.862044245405563	6856731	232540	0.0339141203001839	0.832425564977753	SAMN10182573	SRR7974408	M. truncatula R108 Gm26-1 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm8-5_D1	3674139	3069191	0.835349724112234	5155415	138361	0.0268379946134307	0.839865456402029	SAMN10182574	SRR7974423	M. truncatula R108 Gm8-5 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm8-5_D2	4852169	4156440	0.856614845855534	6958224	222814	0.0320216767956881	0.837041314201576	SAMN10182575	SRR7974422	M. truncatula R108 Gm8-5 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
C68_Gm8-5_D3	5791660	4980580	0.859957248871653	8407312	317806	0.0378011426244203	0.844009332246445	SAMN10182576	SRR7974425	M. truncatula R108 Gm8-5 nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
