"Dataset"	"Term"	"Df"	"Prop.Var"	"Fstat"	"Pvalue"	"Radj"
"All"	"Host"	1	0.275	19.81	0.001	0.347
"All"	"Density"	1	0.056	4.02	0.003	0.347
"All"	"Nitrogen"	1	0.019	1.35	0.172	0.347
"All"	"Host:Density"	1	0.038	2.74	0.015	0.347
"All"	"Host:Nitrogen"	1	0.023	1.67	0.105	0.347
"All"	"Density:Nitrogen"	1	0.018	1.27	0.223	0.347
"All"	"Host:Density:Nitrogen"	1	0.016	1.13	0.272	0.347
"All"	"Residual"	40	0.556	NA	NA	0.347
"All"	"Host"	1	0.275	19.19	0.001	0.326
"All"	"Density"	1	0.056	3.9	0.003	0.326
"All"	"Host:Density"	1	0.038	2.65	0.017	0.326
"All"	"Residual"	44	0.631	NA	NA	0.326
"A17"	"Density"	1	0.217	6.24	0.001	0.201
"A17"	"Nitrogen"	1	0.062	1.78	0.079	0.201
"A17"	"Density:Nitrogen"	1	0.027	0.76	0.656	0.201
"A17"	"Residual"	20	0.695	NA	NA	0.201
"R108"	"Density"	1	0.069	1.68	0.034	0.049
"R108"	"Nitrogen"	1	0.045	1.08	0.336	0.049
"R108"	"Density:Nitrogen"	1	0.059	1.43	0.083	0.049
"R108"	"Residual"	20	0.827	NA	NA	0.049
